"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0CBRQKVVN","X003ZPI6GX","VIVOSUN Smart Air Filtration G6 Kit 6"", AeroZesh G6 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 8' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","51.9","51.9","31.1","centimeters","10.2","kilograms","0.0838","cubic meters","Oversize","1.47","0.0","0.1229","2026-04","9.6","weeks","28.0","0.0","0.03","0.0028","3.4402","0.0","CAD","3.4402","--","N","N","0.0","--","0.0"
"B0CBRQW2KW","X003ZPT0J5","VIVOSUN Smart Air Filtration G8 Kit 8"", AeroZesh G8 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 25' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","71.12","58.42","31.75","centimeters","15.83","kilograms","0.1319","cubic meters","Oversize","3.63","0.0","0.4793","2026-04","9.6","weeks","28.0","0.0","0.33","0.044","13.4203","0.0","CAD","13.4203","--","N","N","0.0","--","0.0"
"B0BZNYBZ1R","X0040NEVHR","VIVOSUN 2’’ Depth Ground Grid, 9x17 ft, High-Density HDPE Geo Cell, 1885 lbs per sq ft Load, Foldable & Tensile, Easy Installation with Gloves, Perfect for Gardens, Driveways, Pathways, Slopes","'YYZ9'","CA","109.0","30.2","7.2","centimeters","8.88","kilograms","0.0237","cubic meters","Oversize","0.97","0.0","0.0221","2026-04","9.6","weeks","28.0","0.0","0.93","0.0221","0.6194","0.0","CAD","0.6194","--","N","N","0.0","--","0.03"
"B0BYNCZJ63","X00413DX6V","VIVOSUN 2.1 Gal/8L Pump Sprayer, Garden Water Sprayer for Plants, Weeds & Lawn Care, with 3 Nozzles, 50'' Long Hose & Pressure Relief Valve","'YYZ9'","CA","57.0","18.5","18.5","centimeters","1.68","kilograms","0.0195","cubic meters","Oversize","0.63","0.13","0.0098","2026-04","9.6","weeks","28.0","0.0","0.5","0.0098","0.2731","0.0","CAD","0.2731","--","N","N","0.0","--","0.0"
"B0BYNCZJ63","X00413DX6V","VIVOSUN 2.1 Gal/8L Pump Sprayer, Garden Water Sprayer for Plants, Weeds & Lawn Care, with 3 Nozzles, 50'' Long Hose & Pressure Relief Valve","'YYZ9'","CA","57.0","18.5","18.5","centimeters","1.68","kilograms","0.0195","cubic meters","Oversize","82.53","0.0","1.5971","2026-04","9.6","weeks","28.0","0.0","0.47","0.0091","44.7182","0.0","CAD","44.7182","--","N","N","0.0","--","0.67"
"B0BYNC8H6J","X00413JWCZ","VIVOSUN 1.8 Gallon Pump Pressure Sprayer, 7L Pressurized Lawn & Garden Water Spray Bottle with 3 Water Nozzles, Adjustable Shoulder Strap, Pressure Relief Valve, for Plants and Cleaning","'YYZ9'","CA","53.8","18.7","18.5","centimeters","1.52","kilograms","0.0186","cubic meters","Oversize","64.5","0.0","1.1906","2026-04","9.6","weeks","28.0","0.0","0.67","0.0124","33.3356","0.0","CAD","33.3356","--","N","N","0.0","--","0.53"
"B0CBPGTTYW","X00417RTWL","VIVOSUN Smart Air Filtration T6 Kit 6"", AeroZesh T6 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 8' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","92.2","27.2","26.8","centimeters","9.44","kilograms","0.0672","cubic meters","Oversize","0.37","0.03","0.0224","2026-04","9.6","weeks","28.0","0.0","0.33","0.0224","0.6273","0.0","CAD","0.6273","--","N","N","0.0","--","0.0"
"B0CBPGTTYW","X00417RTWL","VIVOSUN Smart Air Filtration T6 Kit 6"", AeroZesh T6 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 8' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","92.2","27.2","26.8","centimeters","9.44","kilograms","0.0672","cubic meters","Oversize","3.27","0.0","0.2196","2026-04","9.6","weeks","28.0","0.0","0.2","0.0134","6.1475","0.0","CAD","6.1475","--","N","N","0.0","--","0.0"
"B0CBPDTSKS","X004181EZD","VIVOSUN Exhaust Kit Duct Fan 100 mm 357m³/h E12 Carbon Filter & Duct 240 cm AeroZesh T4 Cooling Ventilation System for Grow Tent Growbox","'YYZ9'","CA","48.51","47.75","23.11","centimeters","6.69","kilograms","0.0535","cubic meters","Oversize","14.2","0.0","0.7586","2026-04","9.6","weeks","28.0","0.0","0.23","0.0125","21.2403","0.0","CAD","21.2403","--","N","N","0.0","--","0.03"
"B0CG1NKCC6","X0041I557B","VIVOSUN Outdoor Handrail, 3 Step Stair Handrail, 40"" x 36"" Fits 1 to 3 Steps, Wrought Mattle Iron Stair Railing with Curved End and Balusters for Concrete Step, Porch Steps, One-step Assembly, Black","'YYZ9'","CA","105.0","22.0","14.0","centimeters","8.58","kilograms","0.0323","cubic meters","Oversize","0.6","0.0","0.0194","2026-04","9.6","weeks","28.0","0.0","0.6","0.0194","0.5433","0.0","CAD","0.5433","--","N","N","0.0","--","0.0"
"B0CP52SNYH","X00429E8RR","VIVOSUN Smart Air Filtration S6 Kit 6"", AeroZesh S6 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 8' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","52.07","51.82","31.62","centimeters","8.91","kilograms","0.0853","cubic meters","Oversize","0.07","0.0","0.0057","2026-04","9.6","weeks","28.0","0.0","0.03","0.0028","0.1593","0.0","CAD","0.1593","--","N","N","0.0","--","0.0"
"B0CL6FWGN7","X0043S0IKD","VIVOSUN 20 x 25 Feet Pond Liner, 14.5 Mil Durable LLDPE Pond Liners for Koi Ponds, Aquaculture and Water Gardens, Black","'YYZ9'","CA","47.0","45.6","21.0","centimeters","13.08","kilograms","0.045","cubic meters","Oversize","45.57","0.0","2.0493","2026-04","9.6","weeks","28.0","0.0","0.33","0.015","57.3813","0.0","CAD","57.3813","--","N","N","0.0","--","0.03"
"B0CFX9CQ4H","X0043SID3H","VIVOSUN Window Duct Kit, Portable AC Window Seal Kit, Fit with 4”/6” Ducting & 5.9” Hose for Sliding Window, Adjustable AC Vent Kit for Duct Fans, Air Conditioner, Dryer","'YYZ9'","CA","44.1","18.1","9.8","centimeters","1.73","kilograms","0.0078","cubic meters","Standard-Size","1.0","0.0","0.0078","2026-04","7.5","weeks","40.0","0.0","0.17","0.0013","0.3139","0.0","CAD","0.3139","--","N","N","0.0","--","0.0"
"B0CBRLZJHL","X003ZPI66N","VIVOSUN Smart Air Filtration G4 Kit 4"", AeroZesh G4 Inline Duct Fan with E12 Speed Controller, Carbon Filter & 8' Ducting, Cooling & Ventilation System for Grow Tents, Indoor Gardening, Hydroponics","'YYZ9'","CA","57.63","36.04","23.01","centimeters","6.49","kilograms","0.0478","cubic meters","Oversize","4.57","0.0","0.2071","2026-04","9.6","weeks","28.0","0.0","0.17","0.008","5.8","0.0","CAD","5.8","--","N","N","0.0","--","0.23"
"B0CP5QJC7C","X0047NY5LR","VIVOSUN 15Amp Electric Wood Chipper/Shredder with Wheels, Equipped with 50L Collection Bag, Additional Blades & Carbon Brushes, Cleaning Rod, Gloves & Goggles, Green","'YYZ9'","CA","68.0","36.4","28.2","centimeters","11.3","kilograms","0.0698","cubic meters","Oversize","1.0","0.33","0.0465","2026-04","9.6","weeks","28.0","0.0","0.67","0.0465","1.3029","0.0","CAD","1.3029","--","N","N","0.0","--","0.0"
"B0D4Q8TYQX","X0048ZOEBZ","VIVOSUN 5-Layer Worm Compost Bin, 50L Worm Composter, Easy Setup Inclusive Worm Farm Kit for Recycling Food Waste","'YYZ9'","CA","41.15","33.02","28.7","centimeters","3.4","kilograms","0.039","cubic meters","Oversize","0.33","0.0","0.0104","2026-04","9.6","weeks","28.0","0.0","0.03","0.0013","0.2912","0.0","CAD","0.2912","--","N","N","0.0","--","0.07"
"B0CBRRD7SP","X004AB1OPB","VIVOSUN Smart Air Filtration PRO G8 Kit 8"", AeroZesh G8 Inline Duct Fan w/GrowHub E42A Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","70.2","56.2","32.8","centimeters","16.03","kilograms","0.1294","cubic meters","Oversize","0.5","0.33","0.0216","2026-04","9.6","weeks","28.0","0.0","0.17","0.0216","0.6039","0.0","CAD","0.6039","--","N","N","0.0","--","0.0"
"B0C6SCF6R1","X004AB7JB9","VIVOSUN AeroZesh G8 Inline Duct Fan, Quiet 8"" 807 CFM Ventilation Exhaust Fan w/EC Motor and GrowHub E42A Temperature Humidity WiFi-Controller for Heating Cooling Booster, Grow Tents, Hydroponics","'YYZ9'","CA","39.37","30.48","28.58","centimeters","4.78","kilograms","0.0343","cubic meters","Oversize","0.23","0.0","0.008","2026-04","9.6","weeks","28.0","0.0","0.23","0.008","0.224","0.0","CAD","0.224","--","N","N","0.0","--","0.0"
"B0D8318TRS","X004ASXMOF","VIVOSUN AeroLight Wing AW400SE with E25 Controller","'YYZ9'","CA","80.01","43.18","13.34","centimeters","8.21","kilograms","0.0461","cubic meters","Oversize","3.0","0.0","0.1382","2026-04","9.6","weeks","28.0","0.0","3.0","0.1382","3.8699","0.0","CAD","3.8699","--","N","N","0.0","--","0.0"
"B0CGL8SV7B","X004AUSWJD","VIVOSUN Outdoor LED Grow Lights, Waterproof String Grow Light, Full Spectrum Plant Growing Lights with 44Ft Adjustable Cord for Seedling, Veg, Flower in Greenhouse, Garden, Backyard, Farm (12-Light)","'YYZ9'","CA","53.34","35.56","10.16","centimeters","2.94","kilograms","0.0193","cubic meters","Oversize","0.2","0.03","0.0032","2026-04","9.6","weeks","28.0","0.0","0.17","0.0032","0.0899","0.0","CAD","0.0899","--","N","N","0.0","--","0.0"
"B0CGL8SV7B","X004AUSWJD","VIVOSUN Outdoor LED Grow Lights, Waterproof String Grow Light, Full Spectrum Plant Growing Lights with 44Ft Adjustable Cord for Seedling, Veg, Flower in Greenhouse, Garden, Backyard, Farm (12-Light)","'YYZ9'","CA","53.34","35.56","10.16","centimeters","2.94","kilograms","0.0193","cubic meters","Oversize","3.43","0.0","0.0636","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","1.7807","0.0","CAD","1.7807","--","N","N","0.0","--","0.13"
"B0CRRDDRVG","X004AUWH8F","VIVOSUN 1.59-Gallon Pump Pressure Sprayer, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, for Plants Spraying, Garden Watering and Household Cleaning","'YYZ9'","CA","49.6","18.8","18.8","centimeters","1.38","kilograms","0.0175","cubic meters","Oversize","1.2","0.53","0.0117","2026-04","9.6","weeks","28.0","0.0","0.67","0.0117","0.3272","0.0","CAD","0.3272","--","N","N","0.0","--","0.0"
"B0CRRFQFB5","X004AUZNP9","VIVOSUN 2.64-Gallon Pump Pressure Sprayer, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, for Plants Spraying, Garden Watering and Household Cleaning","'YYZ9'","CA","64.0","18.5","18.0","centimeters","1.84","kilograms","0.0213","cubic meters","Oversize","20.47","0.0","0.4362","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","12.2132","0.0","CAD","12.2132","--","N","N","0.0","--","0.0"
