"asin","asin_fee_category","fnsku","product_name","longest_side","median_side","shortest_side","measurement-units","unit_weight","dimensional_weight","shipping_weight","weight_units","sku_sizetier","month_of_shipment","asin_shipped_units","asin_return_threshold_percent","asin_return_threshold_units","asin_returned_units","sku_returned_units_NSP_exempted","sku_returned_units_charged","sku_fee_per_unit","sku_returns_fee","month_of_charge","currency"
"B0CYZ2FHPX","Tools and Home Improvement","X0046G4AGZ","VIVOSUN 2-Pack Outdoor Handrail, 3 Step Stair Handrail, 40"" x 36"" Fits 1 to 3 Steps, Wrought Mattle Iron Handrail for Concrete Steps, Porch Steps, One-Step Assembly, 2 Packs, Black","42.50","8.50","7.50","inches","24.9","19.49","25.0","pounds","LargeBulky","2026-01","38","0.0870","0","5","0","1","14.42","14.42","2026-04","USD"
"B0CZ8PQSD1","Business, Industrial, and Scientific Supplies","X0046LWZOT","VIVOSUN Humidity Controller, 1200W Dual-Stage Outlet, Pre-Wired Digital Humidistat with Dual LED Displays for Humidifier/Dehumidifier/Fan, Ideal for Greenhouse, Grow Tent, Home-Brewing, Mushroom","7.91","3.98","3.90","inches","1.08","0.88","1.25","pounds","UsLargeStandardSize","2026-01","177","0.0600","0","18","0","7","3.70","25.90","2026-04","USD"
"B0C8153XLZ","Tools and Home Improvement","X0049PKXPF","VIVOSUN Outdoor Handrail, 6 Step Stair Handrail, 83"" x 36"" Fits 1 to 6 Steps, Wrought Mattle Iron Handrail for Concrete Steps, Porch Steps, One-Step Assembly, Black","84.25","7.00","3.75","inches","19.75","15.91","20.0","pounds","ExtraLarge50","2026-01","229","0.0870","0","21","0","1","33.55","33.55","2026-04","USD"
"B0D4TK376L","Tools and Home Improvement","X004910IU9","VIVOSUN Outdoor Handrail, 3 Step Stair Handrail, 28"" x 19"" Fits 1 to 3 Steps, U-Shaped Wrought Iron Stair Railing, Wall-Mounted Safety Rail for Concrete Step, Porch Steps, One-Step Assembly, Black","30.63","12.38","2.00","inches","5.7","5.46","6.0","pounds","LargeBulky","2026-01","112","0.0870","0","14","0","4","8.34","33.36","2026-04","USD"
"B0D62HTFKS","Business, Industrial, and Scientific Supplies","X0049L6ASD","VIVOSUN TDS Meter, 3 in 1 TDS, EC & Temperature Meter, Accurate Digital Water Quality Tester for Drinking Water, Aquarium, Hydroponics, RO/DI System, Swimming Pool, White","6.57","2.05","1.18","inches","0.2","0.11","0.25","pounds","UsLargeStandardSize","2026-01","50","0.0600","0","4","0","1","2.36","2.36","2026-04","USD"
"B0D82RC59V","Lawn and Garden","X004ASFK7H","VIVOSUN AeroLight Wing AW400, Tunable Spectra, LED Grow Light 400W with Integrated Circulation Fan, App Compatible, Used with Controller E42A/E25 to Achieve More Functions","34.00","18.00","4.50","inches","21.55","19.81","22.0","pounds","LargeBulky","2026-01","37","0.0770","0","4","0","1","13.46","13.46","2026-04","USD"
"B0D8KFWPZ5","Home and Kitchen","X004B1LCC5","VIVOSUN Quiet Register Booster Fan for 𝟒"" 𝐱 𝟏𝟎"" Holes, Cooling Heating Vent Fan with 10-Speeds App Control &Adjustable Wind Direction, Thermostat Control for Bedroom, Bathroom &Attic, Brown","16.77","7.09","2.83","inches","2.98","2.42","3.0","pounds","UsLargeStandardSize","2026-01","45","0.0810","0","8","0","4","4.73","18.92","2026-04","USD"
"B0D8KH8CYR","Home and Kitchen","X004B17SHX","VIVOSUN Quiet Register Booster Fan for 𝟒"" 𝐱 𝟏𝟎"" Holes, Cooling Heating Vent Fan with 10-Speeds App Control &Adjustable Wind Direction, Thermostat Control for Bedroom, Bathroom &Attic, White","16.69","7.09","2.87","inches","3.0","2.44","3.0","pounds","UsLargeStandardSize","2026-01","207","0.0810","0","23","0","6","4.73","28.38","2026-04","USD"
"B0D8PR4Q2Z","Lawn and Garden","X004B3FGR5","VIVOSUN 40 in x 13 ft Burlap Fabric, High Density Natural Jute Fiber, Multipurpose Burlap for Gardening, Outdoor Plant Care, Weed Barrier, DIY Crafts, and Decoration","10.87","10.79","2.28","inches","1.1","1.92","2.0","pounds","UsLargeStandardSize","2026-01","54","0.0770","0","9","0","4","4.63","18.52","2026-04","USD"
"B0D8PSCK93","Lawn and Garden","X004B383A7","VIVOSUN 40 in x 75 ft Burlap Fabric, High Density Natural Jute Fiber, Multipurpose Burlap for Gardening, Outdoor Plant Care, Weed Barrier, DIY Crafts, and Decoration","21.00","13.00","4.50","inches","11.65","8.84","12.0","pounds","LargeBulky","2026-01","29","0.0770","0","5","0","2","10.26","20.52","2026-04","USD"
"B0D976XCDW","Lawn and Garden","X004BEW4U1","VIVOSUN 110 L/30 Gal Water Storage Bladder, Foldable and Portable Water Tank, Water Storage Bag Containers for RV, Camping, Garden, Irrigation, Drought Resistance, Firefighting","10.94","9.29","4.88","inches","4.1","3.57","4.25","pounds","UsLargeStandardSize","2026-01","46","0.0770","0","5","0","1","5.25","5.25","2026-04","USD"
"B0DCHFZN65","Business, Industrial, and Scientific Supplies","X004J6I14T","VIVOSUN GrowHub Outlet Controller A22 with Temperature and Humidity Sensor Probe, Smart Environmental WiFi-Controller, Smart Plug, Thermostat, 15A 1800W, Compatible with Vivosun App for Grow Tent","5.28","3.35","2.44","inches","0.55","0.31","0.56","pounds","UsLargeStandardSize","2026-01","301","0.0600","0","22","0","3","3.05","9.15","2026-04","USD"
"B0F43NRD96","Home and Kitchen","X004N1GWZP","VIVOSUN AeroDrain D12 Smart Environmental Dehumidifier, up to 12L/day, 2L Water Tank, with Temperature & Humidity Sensor Probe, Smart Remote Control, Designed for Grow Tents","22.20","17.40","13.10","inches","29.5","36.4","37.0","pounds","LargeBulky","2026-01","33","0.0810","0","5","0","2","18.26","36.52","2026-04","USD"
"B0FHZV3WNM","Lawn and Garden","X004RM0ZTT","VIVOSUN AeroFlux Smart Grow Tent Heater with Thermostat, 700W PTC Heating, Compact & Portable with VPD, APP Control & Overheat Protection, Included Extension Hose for Grow Tents, Rooms, Greenhouses","13.03","12.36","7.56","inches","6.9","8.76","9.0","pounds","UsLargeStandardSize","2026-01","1059","0.0770","0","88","0","6","6.20","37.20","2026-04","USD"
"B093C1QHRW","Business, Industrial, and Scientific Supplies","X002VPPPU3","VIVOSUN PH Meter Digital PH Tester Pen 0.01 High Accuracy Water Quality Tester with 0-14 PH Measurement Range for Hydroponics, Household Drinking, Pool and Aquarium, with ATC, Orange","6.42","2.05","1.14","inches","0.24","0.11","0.25","pounds","UsLargeStandardSize","2026-01","64","0.0600","0","8","0","4","2.36","9.44","2026-04","USD"
"B00T62C1PK","Tools and Home Improvement","X000Q6TFUZ","VIVOSUN Stainless Steel Air Ducting Clamps, 4/6/8/12 Inch Adjustable Hose Clamps with Worm Drive for Ducting, Heating, Cooling, Exhaust, and Ventilation (Pack of 2)","7.40","7.28","1.18","inches","0.22","0.46","0.5","pounds","UsLargeStandardSize","2026-01","33","0.0870","0","5","0","2","2.70","5.40","2026-04","USD"
"B010UCCMW6","Tools and Home Improvement","X000T0VGFZ","VIVOSUN 6 Inch Flex Air Aluminum Duct for Ventilation, 25 Feet Long Heavy-Duty Multi-Layer Dryer Hose Vent for Heating Cooling Ventilation and Exhaust, 2 Clamps Included","13.15","6.65","6.57","inches","2.56","4.13","4.25","pounds","UsLargeStandardSize","2026-01","323","0.0870","0","30","0","1","5.25","5.25","2026-04","USD"
"B01DXYMM2I","Tools and Home Improvement","X000ZYIJ87","VIVOSUN R8 8 Inch 720 CFM Inline Duct Ventilation Fan with Variable Speed Controller for Grow Tent","13.00","11.00","11.00","inches","9.41","11.32","12.0","pounds","LargeBulky","2026-01","118","0.0870","0","12","0","1","10.26","10.26","2026-04","USD"
"B07B7HCHR2","Tools and Home Improvement","X001PQPWOD","VIVOSUN 6 Inch Flex Air Aluminum Ducting for HVAC Ventilation with 2 Stainless Steel Clamps, 8 Feet Long Multi-Layer Dryer Hose Vent Kit for Duct Fan Systems","6.88","6.73","5.78","inches","1.06","1.93","2.0","pounds","UsLargeStandardSize","2026-01","113","0.0870","0","16","0","6","4.63","27.78","2026-04","USD"
"B07PZKFZKF","Tools and Home Improvement","X0023G2G43","VIVOSUN 6 Inch 16 Feet Flex Air Aluminum Ducting, Flexible Dryer Vent Hose for HVAC Ventilation with 2 Stainless Steel Clamps","9.45","6.65","6.54","inches","1.81","2.96","3.0","pounds","UsLargeStandardSize","2026-01","65","0.0870","0","7","0","1","4.73","4.73","2026-04","USD"
"B07QQ3KYJC","Lawn and Garden","X0024JFW0J","VIVOSUN 1.85-Gallon Pump Pressure Sprayer, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, for Spraying Plants, Garden Watering and Household Cleaning","20.63","7.44","7.36","inches","3.68","8.13","9.0","pounds","LargeBulky","2026-01","33","0.0770","0","4","0","1","9.30","9.30","2026-04","USD"
"B081ZM97QQ","Lawn and Garden","X002EB7JHB","VIVOSUN 3"" x 20"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Heating Pad for Hydroponic, Kombucha Tea, Brewing, Fermentation & Plant Germination","7.60","7.52","2.20","inches","1.23","0.9","1.25","pounds","UsLargeStandardSize","2026-01","240","0.0770","0","22","0","3","3.70","11.10","2026-04","USD"
"B0823BFW6P","Tools and Home Improvement","X002EE2HDT","VIVOSUN 2-Pack Double Bubble Foil Insulation Roll, 6"" x 25 ft Reflective HVAC Pipe & Duct Wrap, Weatherproof Thermal Insulation for Attics, Windows, Garages","14.33","8.03","6.18","inches","1.52","5.12","5.25","pounds","UsLargeStandardSize","2026-01","229","0.0870","0","26","0","6","5.45","32.70","2026-04","USD"
"B088FKM5C8","Lawn and Garden","X002ITV5B5","VIVOSUN Portable Mini Greenhouse 94.5x36x36-Inch Tunnels, PVC Cover with Roll-up Zipper Door, for Indoor Outdoor or Garden Plant Growing","40.60","7.80","4.00","inches","10.05","9.11","11.0","pounds","LargeBulky","2026-01","29","0.0770","0","5","0","2","9.94","19.88","2026-04","USD"
"B08HYQCYW6","Tools and Home Improvement","X00416HS05","VIVOSUN Collapsible Folding Wagon, Outdoor Utility with Silent All-Terrain Beach Wheels, Adjustable Handle, Cup Holders & Side Pockets, for Camping, Beach, Shopping, Garden, Sports, Picnic, Blue","27.25","14.50","9.85","inches","25.4","28.0","28.0","pounds","LargeBulky","2026-01","32","0.0870","0","4","0","1","15.38","15.38","2026-04","USD"
"B08M42FD1V","Lawn and Garden","X002P0009F","VIVOSUN 8 Inch Air Carbon Filter Smelliness Control with Australia Virgin Charcoal for Inline Fan, Grow Tent Smelliness Scrubber, Pre-Filter Included, Reversible Flange 8"" x 20"", Black","22.60","11.75","11.25","inches","15.7","21.49","22.0","pounds","LargeBulky","2026-01","32","0.0770","0","4","0","1","13.46","13.46","2026-04","USD"
"B00T62BZWA","Tools and Home Improvement","X002CMUW03","VIVOSUN Stainless Steel Air Ducting Clamps, 4/6/8/12 Inch Adjustable Hose Clamps with Worm Drive for Ducting, Heating, Cooling, Exhaust, and Ventilation (Pack of 2)","7.68","5.12","1.02","inches","0.15","0.29","0.31","pounds","UsLargeStandardSize","2026-01","34","0.0870","0","4","0","1","2.70","2.70","2026-04","USD"
"B097XQWY28","Lawn and Garden","X002XSYS0V","VIVOSUN Portable Mini Greenhouse 47x23x23-Inch Tunnels, PE Cover with Roll-up Zipper Door, for Indoor Outdoor or Garden Plant Growing, White","28.00","11.50","3.00","inches","4.87","6.95","7.0","pounds","LargeBulky","2026-01","38","0.0770","0","5","0","2","8.66","17.32","2026-04","USD"
"B0998J69CP","Home and Kitchen","X002YEJUGL","VIVOSUN 2-in-1 Warm and Cool Mist Humidifier, 5L Indoor Ultrasonic Air Humidifier with Essential Oil Tray for Bedrooms, Plants, Offices and Babies","14.17","12.76","8.11","inches","5.45","10.55","11.0","pounds","LargeBulky","2026-01","36","0.0810","0","4","0","1","9.94","9.94","2026-04","USD"
"B0BKPKKWYK","Lawn and Garden","X003GFER5L","VIVOSUN AeroLight A150SE, LED Grow Light 150W with Integrated Circulation Fan & GrowHub Controller E25, Compatible with App and E42A, 4 x 2 Ft. Coverage, Establish an Intelligent Grow Environment","15.86","13.66","3.23","inches","6.94","5.03","7.0","pounds","UsLargeStandardSize","2026-01","53","0.0770","0","7","0","2","5.80","11.60","2026-04","USD"
"B0BVPYH3WM","Home and Kitchen","X003PTB5HV","VIVOSUN Inline Booster Duct Fan 8” 430 CFM with Speed Controller, HVAC Exhaust Ventilation Fan with Low Noise for Basements, Bathrooms, Kitchens, Attics, Grow Tents","9.00","8.20","8.00","inches","3.65","4.25","4.25","pounds","UsLargeStandardSize","2026-01","68","0.0810","0","9","0","3","5.25","15.75","2026-04","USD"
"B0BW93RPZW","Home and Kitchen","X003Q21DR9","VIVOSUN 13'' Tower Fan, Bladeless Desk Fan with 3 Speeds and 70° Oscillation, Portable and Compact, Quiet Cooling Fan for Home and Office, Black","15.39","6.06","5.91","inches","3.11","3.97","4.0","pounds","UsLargeStandardSize","2026-01","138","0.0810","0","17","0","5","5.20","26.00","2026-04","USD"
"B0BZC2VTXL","Tools and Home Improvement","X003RCWAG1","VIVOSUN 1500W Digital Temperature Controller, 2-Stage Outlet Thermostat Heating and Cooling Mode, Thermostat with Dual LED Display, for Homebrew Fermenter Greenhouse Terrarium, 110-240V 20A 1500W","7.95","3.94","3.90","inches","0.99","0.88","1.0","pounds","UsLargeStandardSize","2026-01","54","0.0870","0","6","0","1","3.39","3.39","2026-04","USD"
"B0BZP1SXN3","Lawn and Garden","X003RIKDDH","VIVOSUN 3’’ Depth Ground Grid, 9x17 ft, High-Density HDPE Geo Cell, 1885 lbs per sq ft Load, Foldable & Tensile, Easy Installation with Gloves, Perfect for Gardens, Driveways, Pathways, Slopes","42.40","15.20","3.50","inches","34.75","16.23","35.0","pounds","LargeBulky","2026-01","38","0.0770","0","7","0","4","17.62","70.48","2026-04","USD"
"B0C4S397J4","Home and Kitchen","X003TFKIIX","VIVOSUN Quiet Register Booster Fan for 𝟒"" 𝐱𝟏𝟎"" Holes, Cooling Heating Vent with Intelligent Thermostat Control, 10-Speeds Increase Airflow Booster Fan for Bedroom & Attic, Matte White","15.27","6.30","2.68","inches","2.07","1.85","2.25","pounds","UsLargeStandardSize","2026-01","68","0.0810","0","7","0","1","4.66","4.66","2026-04","USD"
"B0C6QKDG53","Lawn and Garden","X003UA90D1","VIVOSUN G6 6"" Inline Duct Fan & Temperature Humidity Controller, E42A+ WiFi-App Control AeroZesh Grow Tent Fan& Smart Thermostat, 388 CFM EC Motor Exhaust Fan for Heating Cooling, Greenhouse Accessory","13.20","10.30","9.00","inches","8.1","8.8","9.0","pounds","LargeBulky","2026-01","90","0.0770","0","14","0","7","9.30","65.10","2026-04","USD"
"B0C7VW19BS","Home and Kitchen","X003UU8ATB","VIVOSUN 13'' Tower Fan, Bladeless Desk Fan with 3 Speeds and 70° Oscillation, Portable and Compact, Quiet Cooling Fan for Home and Office, White","15.43","5.94","5.91","inches","3.11","3.9","4.0","pounds","UsLargeStandardSize","2026-01","68","0.0810","0","8","0","2","5.20","10.40","2026-04","USD"
